Periods,Region,Price
2002,Cromstrijen,213262.0
2003,Cromstrijen,226532.0
2004,Cromstrijen,247714.0
2005,Cromstrijen,240006.0
2006,Cromstrijen,279400.0
2007,Cromstrijen,259783.0
2008,Cromstrijen,291193.0
2009,Cromstrijen,269748.0
2010,Cromstrijen,254328.0
2011,Cromstrijen,259632.0
2012,Cromstrijen,243879.0
2013,Cromstrijen,220878.0
2014,Cromstrijen,223806.0
2015,Cromstrijen,235866.0
2016,Cromstrijen,243824.0
2017,Cromstrijen,252515.0
1995,Delft,79928.0
1996,Delft,91805.0
1997,Delft,99841.0
1998,Delft,110289.0
1999,Delft,121592.0
2000,Delft,145867.0
2001,Delft,162822.0
2002,Delft,184625.0
2003,Delft,190841.0
2004,Delft,189476.0
2005,Delft,198283.0
2006,Delft,214069.0
2007,Delft,223556.0
2008,Delft,238041.0
2009,Delft,221021.0
2010,Delft,225757.0
2011,Delft,229994.0
2012,Delft,212589.0
2013,Delft,208528.0
2014,Delft,212725.0
2015,Delft,211971.0
2016,Delft,224039.0
2017,Delft,250075.0
1995,Dordrecht,72146.0
1996,Dordrecht,83851.0
1997,Dordrecht,92102.0
1998,Dordrecht,102507.0
1999,Dordrecht,114409.0
2000,Dordrecht,129720.0
2001,Dordrecht,141015.0
2002,Dordrecht,154281.0
2003,Dordrecht,158382.0
2004,Dordrecht,165820.0
2005,Dordrecht,174450.0
2006,Dordrecht,186576.0
2007,Dordrecht,189879.0
2008,Dordrecht,200833.0
2009,Dordrecht,186561.0
2010,Dordrecht,188588.0
2011,Dordrecht,183434.0
2012,Dordrecht,180984.0
2013,Dordrecht,167211.0
2014,Dordrecht,178188.0
2015,Dordrecht,185369.0
2016,Dordrecht,184287.0
2017,Dordrecht,200733.0
1995,Giessenlanden,83452.0
1996,Giessenlanden,136741.0
1997,Giessenlanden,137556.0
1998,Giessenlanden,134460.0
1999,Giessenlanden,176919.0
2000,Giessenlanden,210933.0
2001,Giessenlanden,210511.0
2002,Giessenlanden,211707.0
2003,Giessenlanden,253965.0
2004,Giessenlanden,252967.0
2005,Giessenlanden,261471.0
2006,Giessenlanden,284574.0
2007,Giessenlanden,328871.0
2008,Giessenlanden,351334.0
2009,Giessenlanden,347377.0
2010,Giessenlanden,323205.0
2011,Giessenlanden,270526.0
2012,Giessenlanden,271571.0
2013,Giessenlanden,291565.0
2014,Giessenlanden,266653.0
2015,Giessenlanden,240364.0
2016,Giessenlanden,272127.0
2017,Giessenlanden,293859.0
1995,Gorinchem,89486.0
1996,Gorinchem,99219.0
1997,Gorinchem,99270.0
1998,Gorinchem,114319.0
1999,Gorinchem,136289.0
2000,Gorinchem,159488.0
2001,Gorinchem,170593.0
2002,Gorinchem,197507.0
2003,Gorinchem,199615.0
2004,Gorinchem,207049.0
2005,Gorinchem,215838.0
2006,Gorinchem,223055.0
2007,Gorinchem,229216.0
2008,Gorinchem,247243.0
2009,Gorinchem,245963.0
2010,Gorinchem,235063.0
2011,Gorinchem,224441.0
2012,Gorinchem,223261.0
2013,Gorinchem,201984.0
2014,Gorinchem,205229.0
2015,Gorinchem,210947.0
2016,Gorinchem,218140.0
2017,Gorinchem,221038.0
1995,Gouda,90808.0
1996,Gouda,96835.0
1997,Gouda,114234.0
1998,Gouda,118442.0
1999,Gouda,138087.0
2000,Gouda,163068.0
2001,Gouda,177087.0
2002,Gouda,185342.0
2003,Gouda,184288.0
2004,Gouda,186369.0
2005,Gouda,193993.0
2006,Gouda,206255.0
2007,Gouda,200835.0
2008,Gouda,208113.0
2009,Gouda,208479.0
2010,Gouda,193318.0
2011,Gouda,195145.0
2012,Gouda,193920.0
2013,Gouda,179142.0
2014,Gouda,175610.0
2015,Gouda,192073.0
2016,Gouda,186945.0
2017,Gouda,207498.0
1995,'s-Gravenhage (The Hague) (municipality),74053.0
1996,'s-Gravenhage (The Hague) (municipality),82775.0
1997,'s-Gravenhage (The Hague) (municipality),89049.0
1998,'s-Gravenhage (The Hague) (municipality),97887.0
1999,'s-Gravenhage (The Hague) (municipality),113757.0
2000,'s-Gravenhage (The Hague) (municipality),135368.0
2001,'s-Gravenhage (The Hague) (municipality),149101.0
2002,'s-Gravenhage (The Hague) (municipality),164727.0
2003,'s-Gravenhage (The Hague) (municipality),172527.0
2004,'s-Gravenhage (The Hague) (municipality),180313.0
2005,'s-Gravenhage (The Hague) (municipality),195514.0
2006,'s-Gravenhage (The Hague) (municipality),210009.0
2007,'s-Gravenhage (The Hague) (municipality),222556.0
2008,'s-Gravenhage (The Hague) (municipality),228682.0
2009,'s-Gravenhage (The Hague) (municipality),213057.0
2010,'s-Gravenhage (The Hague) (municipality),227616.0
2011,'s-Gravenhage (The Hague) (municipality),227392.0
2012,'s-Gravenhage (The Hague) (municipality),210847.0
2013,'s-Gravenhage (The Hague) (municipality),216214.0
2014,'s-Gravenhage (The Hague) (municipality),223820.0
2015,'s-Gravenhage (The Hague) (municipality),231302.0
2016,'s-Gravenhage (The Hague) (municipality),244849.0
2017,'s-Gravenhage (The Hague) (municipality),266672.0
1995,Hardinxveld-Giessendam,95714.0
1996,Hardinxveld-Giessendam,106041.0
1997,Hardinxveld-Giessendam,112475.0
1998,Hardinxveld-Giessendam,118343.0
1999,Hardinxveld-Giessendam,136017.0
2000,Hardinxveld-Giessendam,161210.0
2001,Hardinxveld-Giessendam,185218.0
2002,Hardinxveld-Giessendam,194495.0
2003,Hardinxveld-Giessendam,203718.0
2004,Hardinxveld-Giessendam,227510.0
