Periods,Region,Price
2005,Maastricht,210951.0
2006,Maastricht,223176.0
2007,Maastricht,230137.0
2008,Maastricht,231883.0
2009,Maastricht,227686.0
2010,Maastricht,222775.0
2011,Maastricht,222066.0
2012,Maastricht,214174.0
2013,Maastricht,206639.0
2014,Maastricht,211753.0
2015,Maastricht,221578.0
2016,Maastricht,223194.0
2017,Maastricht,240627.0
1995,Meerssen,121818.0
1996,Meerssen,128861.0
1997,Meerssen,145334.0
1998,Meerssen,145754.0
1999,Meerssen,186922.0
2000,Meerssen,189982.0
2001,Meerssen,202887.0
2002,Meerssen,219634.0
2003,Meerssen,234781.0
2004,Meerssen,233085.0
2005,Meerssen,257599.0
2006,Meerssen,259898.0
2007,Meerssen,261145.0
2008,Meerssen,280043.0
2009,Meerssen,258715.0
2010,Meerssen,249708.0
2011,Meerssen,247709.0
2012,Meerssen,220235.0
2013,Meerssen,220514.0
2014,Meerssen,221407.0
2015,Meerssen,223017.0
2016,Meerssen,243709.0
2017,Meerssen,270447.0
1995,Mook en Middelaar,122668.0
1996,Mook en Middelaar,142957.0
1997,Mook en Middelaar,147937.0
1998,Mook en Middelaar,172478.0
1999,Mook en Middelaar,207556.0
2000,Mook en Middelaar,177826.0
2001,Mook en Middelaar,256215.0
2002,Mook en Middelaar,270771.0
2003,Mook en Middelaar,254106.0
2004,Mook en Middelaar,270952.0
2005,Mook en Middelaar,278892.0
2006,Mook en Middelaar,305997.0
2007,Mook en Middelaar,334005.0
2008,Mook en Middelaar,323623.0
2009,Mook en Middelaar,351195.0
2010,Mook en Middelaar,273056.0
2011,Mook en Middelaar,286058.0
2012,Mook en Middelaar,313607.0
2013,Mook en Middelaar,225436.0
2014,Mook en Middelaar,250585.0
2015,Mook en Middelaar,298437.0
2016,Mook en Middelaar,269317.0
2017,Mook en Middelaar,311447.0
1995,Nederweert,107773.0
1996,Nederweert,115851.0
1997,Nederweert,133468.0
1998,Nederweert,152969.0
1999,Nederweert,176475.0
2000,Nederweert,205679.0
2001,Nederweert,229996.0
2002,Nederweert,231299.0
2003,Nederweert,235521.0
2004,Nederweert,249770.0
2005,Nederweert,245513.0
2006,Nederweert,251756.0
2007,Nederweert,258133.0
2008,Nederweert,280808.0
2009,Nederweert,235363.0
2010,Nederweert,247408.0
2011,Nederweert,250196.0
2012,Nederweert,210649.0
2013,Nederweert,222741.0
2014,Nederweert,225930.0
2015,Nederweert,233255.0
2016,Nederweert,245425.0
2017,Nederweert,255688.0
1995,Nuth,112939.0
1996,Nuth,103918.0
1997,Nuth,133514.0
1998,Nuth,137374.0
1999,Nuth,161371.0
2000,Nuth,167535.0
2001,Nuth,187432.0
2002,Nuth,189581.0
2003,Nuth,199001.0
2004,Nuth,201610.0
2005,Nuth,203532.0
2006,Nuth,219899.0
2007,Nuth,219245.0
2008,Nuth,211644.0
2009,Nuth,212715.0
2010,Nuth,218527.0
2011,Nuth,209017.0
2012,Nuth,200836.0
2013,Nuth,173827.0
2014,Nuth,180917.0
2015,Nuth,186710.0
2016,Nuth,201424.0
2017,Nuth,224598.0
1995,Onderbanken,88037.0
1996,Onderbanken,99090.0
1997,Onderbanken,113069.0
1998,Onderbanken,130075.0
1999,Onderbanken,144338.0
2000,Onderbanken,157753.0
2001,Onderbanken,149721.0
2002,Onderbanken,174040.0
2003,Onderbanken,151991.0
2004,Onderbanken,175769.0
2005,Onderbanken,181607.0
2006,Onderbanken,186405.0
2007,Onderbanken,188379.0
2008,Onderbanken,207266.0
2009,Onderbanken,177453.0
2010,Onderbanken,176183.0
2011,Onderbanken,180201.0
2012,Onderbanken,177922.0
2013,Onderbanken,155398.0
2014,Onderbanken,188246.0
2015,Onderbanken,161945.0
2016,Onderbanken,182802.0
2017,Onderbanken,217879.0
1995,Roerdalen,103422.0
1996,Roerdalen,111300.0
1997,Roerdalen,134230.0
1998,Roerdalen,135579.0
1999,Roerdalen,165406.0
2000,Roerdalen,184821.0
2001,Roerdalen,180138.0
2002,Roerdalen,193210.0
2003,Roerdalen,187508.0
2004,Roerdalen,187599.0
2005,Roerdalen,203672.0
2006,Roerdalen,209430.0
2007,Roerdalen,222012.0
2008,Roerdalen,207108.0
2009,Roerdalen,188542.0
2010,Roerdalen,191464.0
2011,Roerdalen,198777.0
2012,Roerdalen,197977.0
2013,Roerdalen,178534.0
2014,Roerdalen,185870.0
2015,Roerdalen,186628.0
2016,Roerdalen,191752.0
2017,Roerdalen,202514.0
1995,Roermond,85792.0
1996,Roermond,99724.0
1997,Roermond,106993.0
1998,Roermond,114924.0
1999,Roermond,126213.0
2000,Roermond,144971.0
2001,Roermond,164683.0
2002,Roermond,170674.0
2003,Roermond,170577.0
2004,Roermond,171804.0
2005,Roermond,192044.0
2006,Roermond,190946.0
